timestamp,ticker,assetType,assetMainType,cusip,assetSubType,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTime,tradeTime,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed,realtimeEntitled
2022-11-25 11:04:44,PBR,EQUITY,EQUITY,71654V408,ADR,PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,10.32,4400,P,10.33,21700,N,10.32,100,J,10.38,10.45,10.28, ,10.14,0.18,7615063,2022-11-25 11:04:45,2022-11-25 11:04:44,10.32,n,NYSE,True,True,0.0432,2,16.32,9.56,0.0,2.0081,5.18,51.01,2022-11-22 00:00:00.000,Normal,10.32,1,0.18,1.7751,0.18,1.7751,1.7751,True,False
2022-11-25 11:04:39,BAC,EQUITY,EQUITY,060505104,,BAC,Bank of America Corporation Common Stock,37.77,5500,N,37.78,2800,N,37.775,1600,D,37.72,37.82,37.56, ,37.61,0.165,11070060,2022-11-25 11:04:44,2022-11-25 11:04:39,37.775,n,NYSE,True,True,0.0175,2,50.11,29.31,0.0,11.8978,0.88,2.34,2022-12-01 00:00:00.000,Normal,37.775,16,0.165,0.4387,0.165,0.4387,0.4387,True,False
2022-11-25 11:04:42,WMT,EQUITY,EQUITY,931142103,,WMT,Walmart Inc. Common Stock,152.24,600,N,152.26,300,V,152.25,100,D,152.12,152.84,151.8627, ,152.42,-0.17,1300254,2022-11-25 11:04:42,2022-11-25 11:04:42,152.25,n,NYSE,True,True,0.0338,2,160.77,117.27,0.0,47.0979,2.24,1.47,2022-12-08 00:00:00.000,Normal,152.25,1,-0.17,-0.1115,-0.17,-0.1115,-0.1115,True,False
2022-11-25 11:04:43,UBER,EQUITY,EQUITY,90353T100,,UBER,"Uber Technologies, Inc. Common Stock",28.59,500,N,28.6,700,N,28.595,100,D,28.71,28.88,28.24, ,28.79,-0.195,2940404,2022-11-25 11:04:44,2022-11-25 11:04:43,28.595,n,NYSE,True,True,0.0369,2,45.9,19.895,0.0,0.0,0.0,0.0,,Normal,28.595,1,-0.195,-0.6773,-0.195,-0.6773,-0.6773,True,False
2022-11-25 11:04:44,DKNG,EQUITY,EQUITY,26142V105,,DKNG,DraftKings Inc. - Class A Common Stock,15.1,500,Q,15.11,1700,Q,15.1,100,C,15.18,15.22,14.91, ,15.34,-0.24,2781354,2022-11-25 11:04:44,2022-11-25 11:04:44,15.1,q,NASD,True,True,0.0516,4,37.71,9.77,0.0,0.0,0.0,0.0,,Normal,15.1,1,-0.24,-1.5645,-0.24,-1.5645,-1.5645,True,False
2022-11-25 11:04:45,F,EQUITY,EQUITY,345370860,,F,Ford Motor Company Common Stock,14.07,21600,N,14.08,31400,N,14.0791,3000,D,13.96,14.11,13.9, ,14.03,0.0491,7033799,2022-11-25 11:04:44,2022-11-25 11:04:45,14.0791,n,NYSE,True,True,0.0358,2,25.87,10.61,0.0,6.3431,0.6,4.28,2022-11-14 00:00:00.000,Normal,14.0791,30,0.0491,0.35,0.0491,0.35,0.35,True,False
2022-11-25 11:04:42,AAL,EQUITY,EQUITY,02376R102,,AAL,"American Airlines Group, Inc. - Common Stock",14.66,9800,Q,14.67,3700,P,14.665,100,U,14.4,14.69,14.35, ,14.42,0.245,4301898,2022-11-25 11:04:45,2022-11-25 11:04:42,14.665,q,NASD,True,True,0.0316,4,21.42,11.6514,0.0,0.0,0.0,0.0,,Normal,14.665,1,0.245,1.699,0.245,1.699,1.699,True,False
2022-11-25 11:04:44,INTC,EQUITY,EQUITY,458140100,,INTC,Intel Corporation - Common Stock,29.59,7000,Q,29.6,1200,Q,29.595,100,D,29.68,29.68,29.4, ,29.67,-0.075,4644359,2022-11-25 11:04:45,2022-11-25 11:04:44,29.595,q,NASD,True,True,0.0197,4,56.28,24.59,0.0,9.154,1.46,4.92,2022-11-04 00:00:00.000,Normal,29.595,1,-0.075,-0.2528,-0.075,-0.2528,-0.2528,True,False
2022-11-25 11:04:39,GLD,ETF,EQUITY,78463V107,ETF,GLD,SPDR Gold Trust,163.0,200,X,163.01,400,T,163.015,200,D,162.85,163.16,162.765, ,163.08,-0.065,688412,2022-11-25 11:04:45,2022-11-25 11:04:39,163.01,p,PACIFIC,True,True,0.0195,2,193.3,150.5703,0.0,39.5842,0.0,0.0,,Normal,163.015,2,-0.065,-0.0399,-0.07,-0.0429,-0.0399,True,False
2022-11-25 11:04:40,PLTR,EQUITY,EQUITY,69608A108,,PLTR,Palantir Technologies Inc. Class A Common Stock,7.22,11800,N,7.23,19700,N,7.225,900,D,7.32,7.3394,7.19, ,7.37,-0.145,5691583,2022-11-25 11:04:42,2022-11-25 11:04:40,7.225,n,NYSE,True,True,0.051,2,21.4,6.44,0.0,0.0,0.0,0.0,,Normal,7.225,9,-0.145,-1.9674,-0.145,-1.9674,-1.9674,True,False
2022-11-25 11:04:39,RIVN,EQUITY,EQUITY,76954A103,,RIVN,"Rivian Automotive, Inc. - Class A Common Stock",29.57,200,H,29.58,300,Q,29.57,500,V,29.64,29.64,29.1, ,29.71,-0.14,2003071,2022-11-25 11:04:41,2022-11-25 11:04:39,29.57,q,NASD,True,True,0.0697,4,126.75,19.25,0.0,0.0,0.0,0.0,,Normal,29.57,5,-0.14,-0.4712,-0.14,-0.4712,-0.4712,True,False
2022-11-25 11:04:41,WBD,EQUITY,EQUITY,934423104,,WBD,"Warner Bros. Discovery, Inc. - Series A Common Stock",11.48,1800,Q,11.49,3000,Q,11.49,100,D,11.18,11.59,11.11, ,11.34,0.15,4806569,2022-11-25 11:04:43,2022-11-25 11:04:41,11.49,q,NASD,True,True,0.0375,4,31.55,9.52,0.0,0.0,0.0,0.0,,Normal,11.49,1,0.15,1.3228,0.15,1.3227,1.3228,True,False
2022-11-25 11:04:41,KO,EQUITY,EQUITY,191216100,,KO,Coca-Cola Company (The) Common Stock,62.71,1300,T,62.72,300,N,62.7192,2000,D,62.73,62.81,62.38, ,62.63,0.0892,1817512,2022-11-25 11:04:45,2022-11-25 11:04:41,62.7192,n,NYSE,True,True,0.0252,2,67.2,52.28,0.0,27.4573,1.76,2.81,2022-11-30 00:00:00.000,Normal,62.7192,20,0.0892,0.1424,0.0892,0.1424,0.1424,True,False
2022-11-25 11:04:39,LQD,ETF,EQUITY,464287242,ETF,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,107.67,2000,T,107.68,2000,T,107.68,100,H,107.72,107.72,107.5, ,107.66,0.02,2282068,2022-11-25 11:04:44,2022-11-25 11:04:39,107.68,p,PACIFIC,True,True,0.0133,2,134.56,98.41,0.0,0.0,3.2984,3.06,2022-11-01 00:00:00.000,Normal,107.68,1,0.02,0.0186,0.02,0.0186,0.0186,True,False
2022-11-25 11:04:42,GM,EQUITY,EQUITY,37045V100,,GM,General Motors Company Common Stock,40.29,900,N,40.3,1100,N,40.295,100,N,39.81,40.345,39.81, ,40.11,0.185,1873359,2022-11-25 11:04:45,2022-11-25 11:04:42,40.295,n,NYSE,True,True,0.026,2,67.21,30.33,0.0,6.8079,0.36,0.9,2022-12-01 00:00:00.000,Normal,40.295,1,0.185,0.4612,0.185,0.4612,0.4612,True,False
